Client;Phase
KarenMillen;3
BenQ;3
Deltaskystore;2
Monoprix-FR;3
Gonsi;3
GordonsJewelers;3
HP-NO;3
Ellos-SV_SE;2
BigBrownBox;1
SkinMedica;2
Konebox-FI_FI;2
Intercontinental;3
Dell;3
Dell-ES;3
Starwood;3
Halfords;3
Kele;3
Fellowes;3
HongKong;3
Intuit-CA;3
IntuitCaFr;2
Epson-store;3
USAA;3
GalleryDirect;3
EKSuccess;3
OfficeDesigns;1
Grainger;3
VirginMobileUSA;3
Ariel-ES_MX;2
Fidelity;3
DigitalFederalCreditUnion;3
Avon;3
Avon-ES;3
ApplianceOnline;3
Yankeecandle;3
Journeys;3
Roots;3
Onlinegolf;3
JMBruneau-EN;3
JMBruneau-FR;3
JMBruneau-NL;3
HOF-EN;3
Bruneautech-EN;3
Bruneautech-NL;3
TheEntertainer-EN;3
Orange-ES;3
LaRedoute-EN;3
GinaTricot-DA;3
GinaTricot-DE;3
GinaTricot-FI;3
GinaTricot-NO;3
GinaTricot-SV;3
Lexus-SV;3
Bestseller;2
AlenCorp;3
Pfaltzgraff;2
BouyguesTelecom;2
BodyShop;3
JohnFrieda;3
JohnFrieda-EN_US;3
LandofNod;3
LaneBryant;3
SpeedwayMotors;2
Garnethill;3
HorizonHobby;2
Scheelssports;3
ExpediaHosted;3
Origins-DE_DE;2
Loblaw;3
Loblaw-French;3
1800Flowers;3
Behr;3
About;3
Jackspade;2
Giggle;3
Geico;3
AnnSummers;3
Aerosoles;3
SonyAP-SG;2
Kolcraft;3
Allstate;3
Nikon;3
Acebrand;3
Navitor;3
Electroworld-CZ;3
Gigantti-FI;3
Elkjop-NO;3
Markantalo-FI;3
Lefdal-NO;3
Electroworld-sv;3
3M_MPro;3
MarcOPolo;3
ClasOhlson-EN;3
ClasOhlson-FI;3
ClasOhlson-NO;3
ClasOhlson-SV;3
Bilka;3
Salomon-FR;3
Arcteryx;3
Suunto;3
NetOnNet;3
RealOnlineshop;2
NokiaCom;3
KLM;2
ECI;2
FarrowBall;2
Macys;3
Bloomingdales;3
Northface;3
Wrangler;2
MightyLeaf;3
Logitech-EN_GB;3
DavidsBridal;3
Xerox;3
SmartPak;3
AllenEdmonds;3
SperryTopSider;3
Saucony;3
Keds;3
ColumbiaSportswear;2
SorelIntl;2
Canon-EN_CA;3
GaylordHotels;3
Orvis;3
Motorola;2
GardenSafe;2
HotShot;2
Skinstore;3
Bol;3
HeadShoulders-ES;2
ProAdvisor;3
sOliver;3
Vacancestransat;3
JJB;3
CoastStores;3
Wiggle-EN;3
SonVideo;3
CCS;2
Shearings-Holidays;3
Cheapy;3
StenaLine;3
Hobbs;3
ErnestJones;3
WhiteStuff;3
ThomasPink;3
ThomasPink-EN_US;3
Toptable;3
Spalook;3
Rabobank-NL;2
Olay-EN_NZ;2
BrooksBrothers;3
SKII-EN_SG;3
SKII-ZH;3
BlueShieldCA;3
TriaBeauty;3
TinyPrints;3
DickSmith-AU;3
DickSmith-NZ;3
Douglas;3
LearningCareGroup;3
Revzilla;3
TBC;2
OregonMountainCommunity;3
1000Bulbs;3
KayJewelers;3
BuildABear;3
NeimanMarcus;3
Golfsmith;3
WorldKitchen;3
KodakEurope;3
OrchardBrands;3
Sephora;3
MoreHome;3
Vector;3
Whirlpool;3
TomTom;3
Adobe;3
Cabelas;3
Kaspersky-PT_BR;3
Kaspersky-ES;3
Huggies;3
Huggies-CA;3
Huggies-ES;3
Huggies-FR_CA;3
Nextel-PT_BR;3
HPAPJ;3
HP-DE;3
HP-EN;3
HP-FR;3
Gillette-EN_CA;3
GilletteLA;3
GilletteBrazil;3
Clarisonic;3
Icebreaker;3
YellowPagesCA;2
YellowPages-FR_CA;2
GameStop;3
GameStopCA;3
AlternativeApparel;3
GoAheadTours;3
TheSourceCA;3
TheSourceCA-FR;3
EFTours;3
TotalHockey;3
Bluefly;3
CanadianTire;3
CanadianTire-FR;3
DrJays;3
Tundra;3
TGW;3
SoftballSavings;3
BaseballSavings;3
T-Mobile;3
CardsDirect;3
EFTours-CA;3
Javia;3
PotteryBarnKids;3
CiscoHomeUK;2
Nike;3
NikeEmea;2
Debenhams;3
Gaiam;3
Philosophy;3
MEC;3
MEC-FR;3
TheGoodGuys;3
ModernTeachingAids;2
NorthernParrots;3
Tween;3
HPArticles;3
Wickes;3
Travelocity;3
Medco;3
SweetLeafTea;3
VFoundation;3
2Xist;2
Adler-DE_DE;2
Ashford;3
BassPro;3
BCBSAZ;2
BestBuy;3
Biotherm;2
Boulanger;3
BriggsStratton;3
Brita;3
But;2
HotSpring;3
Canon-AU;3
Carhartt;3
Carphonewarehouse;3
CartridgePeople;3
Charmin;3
ChristianBook;3
Claires;2
Clarisonic-GB;3
CompanyC;3
Costco;3
CyDen;2
DirectionsCreditUnion;1
DisneyStore;2
DoverSaddlery;2
PowerEquipmentPlus;2
Dungarees;3
EDreams-DE;3
EDreams-PT;3
ELITEAUTO;2
PCCity-SE;2
ElsevierHealth-GB;3
EntirelyPets;3
EnvieDePlus;2
Esprit-FR;3
EvansvilleTeachersFCU;1
Falabella;3
Figis;3
Fitflop-EN_GB;2
Footjoy;3
ForMeOnline;2
Fossil;3
Frigidaire;3
GenerationsFCU;3
GHHJapan-JA_JP;2
Gillette-TR_TR;2
GilletteVenus;3
GiorgioArmani;3
GlutenFreely;3
HomeMadeSimple;3
Grilling;3
HannaAndersson;3
HappyAngler-SV_SE;3
Letterbox;3
HeadShoulders-RU_RU;2
Helzberg-Stories;3
HEMA-FR_BE;2
HEMA-NL_BE;2
HomeMadeSimple-ES_US;2
HP;3
Iams-EN_CA;3
IBMUKMidMarket;2
Imwalking;3
IngramMicro;3
Inlighten-Stories;3
Innovations;2
InstantOcean;1
IsabellaOliver;3
IWOOT;3
AllAboutCoats;3
JENNYFER;3
Jif;3
JustBlinds;3
Kiehlscanada-FR_CA;2
KIEHLS-EN_GB;3
LacosteFragrances;3
LancomeCanada;3
Lego;3
LetsbuyCom;1
Levenger;3
LG-EN_AU;2
LogitechAU;3
Loop18;3
LululemonAu;2
Luvs;3
MarriottSkyStore;1
Masters;1
MeetMark;3
Michaelscanada;2
Microsoft;2
Middlesex;2
Montrail;3
NavyFederal;3
Neckermann-DE_CH;2
Nectar;3
NewBalance;2
Nivea;2
Novation;2
OfficeMax;3
Ojon;3
Olay-AU;3
Olay-DE_DE;2
OlayWE;2
Mrjet;2
Origins-UK;3
Orion;3
Outlet;3
Pampers-CS_CZ;2
Pampers-RU_RU;3
PanteneBrazil;2
PartyCity;3
Pasttimes;2
PGBrandVoice;3
PlazaVIP;3
PostItTeachers;3
Promod-DE;3
PullUps;1
VitaminWorld;3
Quelle;3
Quicken;3
RBFCU;1
RCI-DA;3
RCI-DE;3
RCI-FR;3
RCI-IT;3
RCI-NL;3
RCI-NO;3
RCI-SV;3
ReebokCCM;1
RelicBrand;3
ReVive;2
Rouge;3
Rouge-EN_AU;2
Ryka;3
Samsung-DE_DE;3
Scotchbrand-EN_GB;3
Secret-FR_CA;2
Sephora-IT;3
Shoptime;2
Shutterfly;2
SpinMaster;1
StenaLine-NL;3
TedBaker;3
TheRange;1
TheSportshq-DE;3
Tide-ES;3
TMW;3
Toolbox;1
Toshiba-FI;3
Travelocity-EN_CA;3
Travelocity-FR_CA;3
TurboTax;3
Veet;1
Celaia-FR;3
Warehousefashions;3
Wusthof;1
Xerox-EN_CA;2
Xeroxdirect;3
SkinAndWoundCare;3
ZionsBank;3
AmexOPEN;3
DiscountShoeStore;3
VirginMobileAustralia;1
SurfStitch;3
IntuitAccountant;1
Intuitlacerte;3
IntuitPayments;3
YesGolf;2
Adidas-EN_FI;2
Clairol-FR_CA;3
SmartBeautyBuys-FR_CA;3
SmartBeautyBuys-EN_CA;3
Olay-NL_NL;2
Secret-EN_CA;2
Duracell-PL_PL;2
Duracell-EN_GB;2
OralB-TR_TR;2
OralB-PL_PL;2
OralB-HU_HU;2
Ariel;2
Always-EN_CA;3
Always-ES;2
PGTryIt;2
CoverGirl-EN_CA;3
Duracell-ES;2
OasisFashions;3
